Habitat	Phyla	BiG.SCAPE_class	protein_number
Acid	Myxococcota (117)	NRPS	16
Acid	Chloroflexota (113)	NRPS	30
Acid	Desulfobacterota_B (107)	NRPS	21
Cold	Proteobacteria (3242)	Others	871
Cold	Actinobacteriota (1562)	Others	311
Cold	Bacteroidota (1472)	Others	230
Cold	Planctomycetota (953)	Others	125
Cold	Acidobacteriota (915)	Others	55
Cold	Verrucomicrobiota (835)	Others	146
Cold	Myxococcota (578)	Others	95
Cold	Chloroflexota (348)	Others	44
Cold	Cyanobacteria (255)	Others	21
Cold	Desulfobacterota (211)	Others	69
Cold	Proteobacteria (3242)	Terpene	865
Cold	Actinobacteriota (1562)	Terpene	401
Cold	Bacteroidota (1472)	Terpene	601
Cold	Planctomycetota (953)	Terpene	334
Cold	Acidobacteriota (915)	Terpene	230
Cold	Verrucomicrobiota (835)	Terpene	323
Cold	Myxococcota (578)	Terpene	88
Cold	Chloroflexota (348)	Terpene	124
Cold	Cyanobacteria (255)	Terpene	90
Cold	Desulfobacterota (211)	Terpene	8
Cold	Proteobacteria (3242)	Saccharides	1
Cold	Actinobacteriota (1562)	Saccharides	3
Cold	Bacteroidota (1472)	Saccharides	0
Cold	Planctomycetota (953)	Saccharides	1
Cold	Acidobacteriota (915)	Saccharides	3
Cold	Verrucomicrobiota (835)	Saccharides	0
Cold	Myxococcota (578)	Saccharides	0
Cold	Chloroflexota (348)	Saccharides	1
Cold	Cyanobacteria (255)	Saccharides	0
Cold	Desulfobacterota (211)	Saccharides	0
Cold	Proteobacteria (3242)	RiPPs	877
Cold	Actinobacteriota (1562)	RiPPs	387
Cold	Bacteroidota (1472)	RiPPs	169
Cold	Planctomycetota (953)	RiPPs	104
Cold	Acidobacteriota (915)	RiPPs	227
Cold	Verrucomicrobiota (835)	RiPPs	96
Cold	Myxococcota (578)	RiPPs	198
Cold	Chloroflexota (348)	RiPPs	57
Cold	Cyanobacteria (255)	RiPPs	46
Cold	Desulfobacterota (211)	RiPPs	65
Cold	Proteobacteria (3242)	PKSother	212
Cold	Actinobacteriota (1562)	PKSother	197
Cold	Bacteroidota (1472)	PKSother	294
Cold	Planctomycetota (953)	PKSother	172
Cold	Acidobacteriota (915)	PKSother	102
Cold	Verrucomicrobiota (835)	PKSother	107
Cold	Myxococcota (578)	PKSother	78
Cold	Chloroflexota (348)	PKSother	48
Cold	Cyanobacteria (255)	PKSother	19
Cold	Desulfobacterota (211)	PKSother	34
Cold	Proteobacteria (3242)	PKS-NRP_Hybrids	68
Cold	Actinobacteriota (1562)	PKS-NRP_Hybrids	21
Cold	Bacteroidota (1472)	PKS-NRP_Hybrids	34
Cold	Planctomycetota (953)	PKS-NRP_Hybrids	23
Cold	Acidobacteriota (915)	PKS-NRP_Hybrids	45
Cold	Verrucomicrobiota (835)	PKS-NRP_Hybrids	29
Cold	Myxococcota (578)	PKS-NRP_Hybrids	14
Cold	Chloroflexota (348)	PKS-NRP_Hybrids	6
Cold	Cyanobacteria (255)	PKS-NRP_Hybrids	10
Cold	Desulfobacterota (211)	PKS-NRP_Hybrids	1
Cold	Proteobacteria (3242)	PKSI	44
Cold	Actinobacteriota (1562)	PKSI	56
Cold	Bacteroidota (1472)	PKSI	11
Cold	Planctomycetota (953)	PKSI	38
Cold	Acidobacteriota (915)	PKSI	15
Cold	Verrucomicrobiota (835)	PKSI	38
Cold	Myxococcota (578)	PKSI	18
Cold	Chloroflexota (348)	PKSI	11
